# Kpath    Energy-Level (in eV)
# Band    1
       4.50593      19.57101
       4.59650      19.90379
       4.59650      19.90379
       4.66054      19.87157
       4.72459      19.56139
       4.78863      18.99471
       4.85267      18.48164
       4.91672      18.29115
       4.98076      18.59645
       5.04480      18.90186
       5.10884      19.14120
       5.17289      19.23588
# Band   16
       5.17289      21.54931
       5.10884      21.27621
       5.04480      20.81759
       4.98076      20.42814
       4.91672      20.13032
       4.85267      19.96017
       4.78863      20.01982
       4.72459      20.11790
       4.66054      20.14926
       4.59650      20.24740
       4.59650      20.24740
       4.50593      20.02961
       4.41536      19.96630
       4.32479      20.04323
       4.23422      20.33065
       4.14365      20.91101
       4.05308      21.53814
       3.96251      22.10448
       3.87194      22.57730
       3.78137      22.93578
       3.78137      22.93577
       3.67044      22.00314
       3.55952      20.56233
       3.44859      19.22495
       3.33767      19.20072
       3.22674      20.57203
       3.11582      22.15183
       3.00489      23.60989
       2.89396      24.85346
       2.78304      25.51069
       2.78304      25.51068
       2.64718      24.35623
       2.51133      22.09326
       2.37547      19.66753
       2.23962      20.56512
       2.10376      19.92603
       1.96791      19.72014
       1.83205      20.12537
       1.69619      19.34381
       1.56034      18.79446
       1.56034      18.79446
       1.51505      18.78609
       1.46977      18.89395
       1.42448      19.17363
       1.37920      19.55063
       1.33391      19.97443
       1.28863      20.42344
       1.24334      20.88470
       1.19806      21.32964
       1.15277      21.54928
       1.15277      21.54931
       1.02469      20.04642
       0.89660      18.53404
       0.76851      17.59842
       0.64043      18.38899
       0.51234      19.83754
       0.38426      21.42228
       0.25617      23.05605
       0.12809      24.61695
       0.00000      25.51068
