     #Energy         O_s         O_p         C_s         C_p      Ni_dxy      Ni_dz2
    12.07034     0.06116     0.03828     0.01670     0.03043     0.16712     0.17716
    12.24334     0.01351     0.01037     0.00416     0.01179     0.06667     0.04549
    12.41634     0.02067     0.01297     0.00541     0.02174     0.08338     0.04718
    12.59034     0.02009     0.01315     0.00554     0.02289     0.09223     0.05462
    12.76334     0.02037     0.01586     0.00873     0.02674     0.10146     0.06438
    12.93634     0.02210     0.01940     0.01076     0.03783     0.10703     0.07055
    13.11034     0.02176     0.02229     0.01311     0.04300     0.10808     0.07627
    13.28334     0.01827     0.01806     0.01365     0.04268     0.12440     0.07828
    13.45634     0.02320     0.01887     0.02436     0.05395     0.13494     0.09385
    13.63034     0.02272     0.02563     0.02833     0.06568     0.15258     0.11702
    13.80334     0.02540     0.02657     0.03271     0.06354     0.12250     0.12875
    13.97634     0.03078     0.03140     0.03198     0.07681     0.12296     0.13884
    14.15034     0.02886     0.03132     0.03553     0.06810     0.11383     0.13381
    14.32334     0.02195     0.02179     0.02758     0.04884     0.08376     0.11557
    14.49634     0.02542     0.02477     0.03460     0.04933     0.06966     0.15050
    14.67034     0.02439     0.02354     0.03458     0.04967     0.06681     0.15672
    14.84334     0.01905     0.01875     0.02841     0.04272     0.06179     0.12962
    15.01634     0.00919     0.01002     0.01530     0.02864     0.05117     0.06625
    15.19034     0.00471     0.00596     0.00944     0.02162     0.04814     0.03818
    15.36334     0.00411     0.00528     0.00873     0.02013     0.04899     0.03665
    15.53634     0.00358     0.00504     0.00804     0.01854     0.04855     0.03466
    15.71034     0.00311     0.00503     0.00744     0.01737     0.04773     0.03276
    15.88334     0.00278     0.00515     0.00680     0.01662     0.04673     0.03085
    16.05634     0.00259     0.00544     0.00627     0.01643     0.04453     0.02931
    16.23034     0.00237     0.00579     0.00593     0.01597     0.04212     0.02802
    16.40334     0.00216     0.00620     0.00570     0.01545     0.03967     0.02686
    16.57634     0.00196     0.00665     0.00549     0.01501     0.03717     0.02578
    16.75034     0.00175     0.00710     0.00549     0.01468     0.03488     0.02526
    16.92334     0.00152     0.00741     0.00592     0.01435     0.03359     0.02612
    17.09634     0.00134     0.00774     0.00654     0.01427     0.03222     0.02751
    17.27034     0.00127     0.00810     0.00919     0.01510     0.03176     0.03421
    17.44334     0.00147     0.00857     0.02549     0.01793     0.03164     0.07629
    17.61634     0.00087     0.00860     0.00082     0.01381     0.02780     0.01081
    17.79034     0.00082     0.00902     0.00073     0.01435     0.02740     0.01051
    17.96334     0.00077     0.00946     0.00065     0.01493     0.02678     0.01030
    18.13634     0.00159     0.02537     0.00083     0.03774     0.02614     0.01899
    18.31034     0.00326     0.05983     0.00140     0.08621     0.02550     0.03744
    18.48334     0.00021     0.00049     0.00023     0.00247     0.02295     0.00414
    18.65634     0.00017     0.00041     0.00019     0.00228     0.02261     0.00394
    18.83034     0.00013     0.00033     0.00016     0.00210     0.02226     0.00374
    19.00334     0.00009     0.00026     0.00012     0.00192     0.02191     0.00354
    19.17634     0.00015     0.00038     0.00015     0.00420     0.02838     0.00931
    19.35034     0.00010     0.00030     0.00012     0.00339     0.02333     0.00813
    19.52334     0.00008     0.00015     0.00013     0.00226     0.01272     0.00573
    19.69634     0.00006     0.00009     0.00011     0.00129     0.00858     0.00369
    19.87034     0.00002     0.00002     0.00008     0.00019     0.00504     0.00119
    20.04334     0.00002     0.00002     0.00007     0.00012     0.00449     0.00098
    20.21634     0.00002     0.00002     0.00007     0.00011     0.00410     0.00092
    20.39034     0.00002     0.00002     0.00007     0.00010     0.00372     0.00086
    20.56334     0.00002     0.00001     0.00007     0.00009     0.00336     0.00079
    20.73634     0.00001     0.00001     0.00006     0.00008     0.00300     0.00073
    20.91034     0.00001     0.00001     0.00006     0.00007     0.00266     0.00066
    21.08334     0.00001     0.00001     0.00005     0.00006     0.00233     0.00059
    21.25634     0.00001     0.00001     0.00005     0.00005     0.00201     0.00052
    21.43034     0.00001     0.00001     0.00004     0.00005     0.00170     0.00045
    21.60334     0.00001     0.00001     0.00004     0.00004     0.00140     0.00039
    21.77634     0.00001     0.00001     0.00003     0.00003     0.00112     0.00032
    21.95034     0.00001     0.00000     0.00003     0.00002     0.00084     0.00024
    22.12334     0.00000     0.00000     0.00002     0.00002     0.00058     0.00017
    22.29634     0.00000     0.00000     0.00001     0.00001     0.00033     0.00010
    22.47034     0.00000     0.00000     0.00000     0.00000     0.00008     0.00003
    22.64334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    22.81634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    22.99034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    23.16334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    23.33634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    23.51034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    23.68334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    23.85634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    24.03034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    24.20334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    24.37634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    24.55034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    24.72334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    24.89634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
